,devs,genders,countries
282,1455188,male,None
283,1275770,male,united states
284,1664105,female,None
285,1379465,male,None
286,819026,male,None
287,819019,male,None
288,819043,male,None
289,819035,male,None
290,819032,male,None
291,819017,male,None
292,819039,male,None
293,819020,None,None
294,819031,None,None
295,791259,male,None
296,819016,female,None
297,819014,female,None
298,819013,male,None
299,20197,male,united kingdom
300,77527,male,united kingdom
301,119187,None,None
302,77593,None,None
303,77562,female,None
304,17950,male,united kingdom
305,66821,male,united kingdom
306,77567,male,None
307,402156,male,None
308,77588,male,united kingdom
309,1529961,male,None
310,54247,male,united kingdom
311,37688,male,lithuania
312,50227,male,united kingdom
313,650794,None,None
314,77559,male,united kingdom
315,907177,male,None
316,68699,male,None
317,964711,male,None
318,77589,female,united kingdom
319,76106,male,united kingdom
320,77523,male,united kingdom
321,77571,male,united kingdom
322,1777127,male,None
323,154081,male,None
324,661538,male,None
325,37181,male,united states
326,249844,male,canada
327,45707,None,None
328,52676,male,united kingdom
329,2703787,male,None
330,3871,male,norway
331,25829,male,russia
332,652918,male,None
333,1874643,None,None
334,124392,female,united kingdom
335,85946,male,argentina
336,88393,male,united states
337,1643,male,france
338,5626,male,france
339,193815,male,united states
340,858,male,france
341,102496,male,united states
342,736621,male,None
343,80557,male,south korea
344,30098,male,united states
345,651,male,germany
346,6240,male,united kingdom
347,23402,None,None
348,106687,None,None
349,34531,male,united kingdom
350,327303,None,slovakia
351,1144421,male,united states
352,68413,male,denmark
353,25404,male,united kingdom
354,577076,male,None
355,104935,male,russia
356,153205,male,None
357,470958,male,None
358,91307,male,germany
359,126992,male,sweden
360,8710,male,None
361,385740,male,None
362,2650993,None,None
363,602823,male,None
364,67830,male,None
365,248980,male,None
366,205409,male,italy
367,868186,male,None
368,6990,male,united states
369,24303,male,united states
370,51893,None,None
371,992471,male,None
372,156456,male,egypt
373,29842,male,united states
374,22252,None,None
375,24424,male,united states
376,18329,male,united states
377,127044,male,united states
378,10588,None,None
379,964166,male,united states
380,971330,male,None
381,274228,male,bolivia
382,419077,male,None
383,1555927,male,None
384,237803,male,united states
385,1891338,male,None
386,1916861,male,None
387,1818876,male,switzerland
388,40470,male,germany
389,8078,male,united states
390,199148,male,None
391,37397,male,united states
392,17457,male,ukraine
393,8158,male,uruguay
394,9071,male,united states
395,442299,male,None
396,8179,male,united states
397,59625,male,ukraine
398,439197,None,None
399,63040,male,None
400,8150,male,poland
401,109712,male,germany
402,5293,male,france
403,59785,male,thailand
404,29098,male,canada
405,49442,male,united states
406,36221,None,None
407,38718,male,united states
408,8941,male,united kingdom
409,1117784,None,None
410,199036,male,germany
411,44255,male,united states
412,26286,male,united states
413,30493,None,germany
414,93214,male,united states
415,477428,male,united kingdom
416,27788,male,belgium
417,111908,male,france
418,216,male,australia
419,242635,male,united states
420,164706,male,uruguay
421,28079,male,poland
422,3892,male,united states
423,43290,male,united states
424,1565,male,united states
425,6189,male,united states
426,756334,male,None
427,45308,male,None
428,1161006,None,None
429,3934,male,switzerland
430,8147,male,united kingdom
431,114234,male,italy
432,422248,male,None
433,29031,male,austria
434,26407,male,australia
435,1114912,None,None
436,18005,male,united states
437,46870,male,united states
438,48903,male,united states
